GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project2,net.revature.binarybuiltbyte.project2.security,JwtResponse,36,0,0,0,11,0,7,0,7,0
project2,net.revature.binarybuiltbyte.project2.security,UserAuthentication,32,0,0,0,12,0,10,0,10,0
project2,net.revature.binarybuiltbyte.project2.security,SecurityConfig,0,76,0,0,0,19,0,4,0,4
project2,net.revature.binarybuiltbyte.project2.security,JwtRequestFilter,46,20,8,2,10,8,5,2,0,2
project2,net.revature.binarybuiltbyte.project2.security,JwtRequest,135,0,22,0,5,0,21,0,10,0
project2,net.revature.binarybuiltbyte.project2.security,JwtUtil,87,14,4,0,14,3,11,1,9,1
project2,net.revature.binarybuiltbyte.project2.security,UserAuthenticationService,17,3,2,0,3,1,2,1,1,1
project2,net.revature.binarybuiltbyte.project2.service,CheckoutServiceImpl,33,6,0,0,9,3,1,1,1,1
project2,net.revature.binarybuiltbyte.project2.config,SwaggerConfig,0,58,0,0,0,25,0,5,0,5
project2,net.revature.binarybuiltbyte.project2.config,RestConfig,0,46,0,2,0,13,0,4,0,3
project2,net.revature.binarybuiltbyte.project2.model,Product,518,38,78,0,11,12,60,11,21,11
project2,net.revature.binarybuiltbyte.project2.model,Role,0,24,0,0,0,2,0,1,0,1
project2,net.revature.binarybuiltbyte.project2.model,Payment.PaymentBuilder,86,0,0,0,1,0,9,0,9,0
project2,net.revature.binarybuiltbyte.project2.model,Payment,288,18,48,0,4,6,37,6,13,6
project2,net.revature.binarybuiltbyte.project2.model,ByteOrder,96,8,4,0,18,2,25,1,23,1
project2,net.revature.binarybuiltbyte.project2.model,ProductOrder.ProductOrderBuilder,62,0,0,0,1,0,7,0,7,0
project2,net.revature.binarybuiltbyte.project2.model,Address,288,18,48,0,4,6,37,6,13,6
project2,net.revature.binarybuiltbyte.project2.model,Category,159,9,24,0,4,3,22,3,10,3
project2,net.revature.binarybuiltbyte.project2.model,ByteUser.ByteUserBuilder,146,0,0,0,1,0,14,0,14,0
project2,net.revature.binarybuiltbyte.project2.model,Status,0,54,0,0,0,2,0,1,0,1
project2,net.revature.binarybuiltbyte.project2.model,ProductOrder,188,9,26,0,5,3,25,3,12,3
project2,net.revature.binarybuiltbyte.project2.model,Review.ReviewBuilder,86,0,0,0,1,0,9,0,9,0
project2,net.revature.binarybuiltbyte.project2.model,Product.ProductBuilder,158,0,0,0,1,0,15,0,15,0
project2,net.revature.binarybuiltbyte.project2.model,ByteUser,527,38,92,0,10,12,65,11,19,11
project2,net.revature.binarybuiltbyte.project2.model,Review,271,18,42,0,4,6,34,6,13,6
project2,net.revature.binarybuiltbyte.project2.model,Category.CategoryBuilder,50,0,0,0,1,0,6,0,6,0
project2,net.revature.binarybuiltbyte.project2.model,Address.AddressBuilder,86,0,0,0,1,0,9,0,9,0
project2,net.revature.binarybuiltbyte.project2.dto,Purchase,255,0,46,0,6,0,38,0,15,0
project2,net.revature.binarybuiltbyte.project2,Project2Application,5,5,0,0,2,2,1,2,1,2
project2,net.revature.binarybuiltbyte.project2,ServletInitializer,12,0,0,0,2,0,2,0,2,0
project2,net.revature.binarybuiltbyte.project2.controller,HomeController,47,3,0,0,13,1,2,1,2,1
project2,net.revature.binarybuiltbyte.project2.controller,CheckoutController,5,6,0,0,2,3,1,1,1,1
